Model,mAP50,mAP50_95,Precision,Recall,F1,Inference_ms,Preprocess_ms,Postprocess_ms,Validation_time_sec,Model_size_MB
YOLOv8n,0.9919039775235144,0.8177207767684924,0.9828788598102124,0.9740420271940667,0.978440490838727,299.19261540188904,4.23700822235245,2.137663156123861,266.06136679649353,5.96
YOLOv8m,0.9914816740280251,0.829976671355487,0.9802425421900152,0.9812372892224195,0.980739662967667,1651.7763018635117,3.318809308191902,3.0912291392549553,1302.6625125408173,49.62
YOLOv8s,0.9911663155278662,0.8282802388481227,0.9839342918371454,0.9752781211372065,0.9795870836881714,778.7753971860809,3.6057019674734505,3.863735031253284,623.4395160675049,21.47
RT-DETR,0.9872461442124029,0.832032789497182,0.9679009738058761,0.9690895276814944,0.968494885590293,5161.430306048241,4.753824106556265,0.11707719379699316,4014.351434469223,63.16
Faster R-CNN,0.9569120287253142,0.874526231797327,0.9569120287253142,0.9253472222222222,0.9408649597825766,11992.49361808147,0.0,0.0,6609.698136329651,471.47
