Модель,mAP50 (среднее),mAP50 (std),mAP50 нижн. граница,mAP50 верхн. граница
YOLOv8m,0.9817492932749289,0.007960800907447312,0.9719818683304793,0.9914816740280251
RT-DETR,0.978009803936626,0.007588131627506854,0.9686601302187853,0.9872461442124029
YOLOv8n,0.9760036585461517,0.009252976376311518,0.962917973862454,0.9825465008880004
YOLOv8s,0.9751291161268373,0.009258400920762256,0.9620357599788076,0.9816757942008519
Faster R-CNN,0.9490093898982326,0.01737037950150036,0.9249146757679181,0.9652014652014652
